#Roots: 1
Root indexes:	12676 
147:	Offset: 1568  Size:1  Children:0	[6926,6926][3789,3789][2256,2256]
148:	Offset: 1576  Size:1  Children:0	[6924,6924][3792,3792][2259,2259]
149:	Offset: 1584  Size:1  Children:0	[6922,6922][3791,3791][2258,2258]
150:	Offset: 1592  Size:1  Children:0	[6923,6923][3787,3787][2254,2254]
151:	Offset: 1600  Size:1  Children:0	[6919,6919][3793,3793][2260,2260]
152:	Offset: 1608  Size:1  Children:0	[6918,6918][3794,3794][2261,2261]
153:	Offset: 1616  Size:1  Children:0	[6920,6920][3790,3790][2257,2257]
154:	Offset: 1624  Size:1  Children:0	[6925,6925][3788,3788][2255,2255]
155:	Offset: 1632  Size:25  Children:6	[6928,7001][3712,3785][2179,2252]
156:	Offset: 1664  Size:1  Children:0	[7000,7000][3783,3783][2250,2250]
157:	Offset: 1672  Size:57  Children:14	[6983,6997][3712,3726][2179,2193]
158:	Offset: 1736  Size:213  Children:53	[6929,6982][3729,3782][2196,2249]
159:	Offset: 1956  Size:1  Children:0	[6999,6999][3784,3784][2251,2251]
160:	Offset: 1964  Size:1  Children:0	[6998,6998][3728,3728][2195,2195]
161:	Offset: 1972  Size:1  Children:0	[6928,6928][3727,3727][2194,2194]
162:	Offset: 1980  Size:1  Children:0	[6996,6996][3720,3720][2187,2187]
163:	Offset: 1988  Size:1  Children:0	[6987,6987][3714,3714][2181,2181]
164:	Offset: 1996  Size:1  Children:0	[6986,6986][3715,3715][2182,2182]
165:	Offset: 2004  Size:1  Children:0	[6991,6991][3721,3721][2188,2188]
166:	Offset: 2012  Size:1  Children:0	[6994,6994][3723,3723][2190,2190]
167:	Offset: 2020  Size:1  Children:0	[6990,6990][3719,3719][2186,2186]
168:	Offset: 2028  Size:1  Children:0	[6995,6995][3718,3718][2185,2185]
169:	Offset: 2036  Size:1  Children:0	[6988,6988][3713,3713][2180,2180]
170:	Offset: 2044  Size:1  Children:0	[6983,6983][3717,3717][2184,2184]
171:	Offset: 2052  Size:1  Children:0	[6985,6985][3724,3724][2191,2191]
172:	Offset: 2060  Size:1  Children:0	[6992,6992][3716,3716][2183,2183]
173:	Offset: 2068  Size:1  Children:0	[6989,6989][3725,3725][2192,2192]
174:	Offset: 2076  Size:1  Children:0	[6984,6984][3712,3712][2179,2179]
175:	Offset: 2084  Size:1  Children:0	[6993,6993][3722,3722][2189,2189]
176:	Offset: 2092  Size:1  Children:0	[6976,6976][3759,3759][2226,2226]
177:	Offset: 2100  Size:1  Children:0	[6945,6945][3768,3768][2235,2235]
178:	Offset: 2108  Size:1  Children:0	[6963,6963][3760,3760][2227,2227]
179:	Offset: 2116  Size:1  Children:0	[6973,6973][3762,3762][2229,2229]
180:	Offset: 2124  Size:1  Children:0	[6953,6953][3766,3766][2233,2233]
181:	Offset: 2132  Size:1  Children:0	[6929,6929][3774,3774][2241,2241]
182:	Offset: 2140  Size:1  Children:0	[6950,6950][3731,3731][2198,2198]
183:	Offset: 2148  Size:1  Children:0	[6936,6936][3780,3780][2247,2247]
184:	Offset: 2156  Size:1  Children:0	[6967,6967][3736,3736][2203,2203]
185:	Offset: 2164  Size:1  Children:0	[6959,6959][3776,3776][2243,2243]
186:	Offset: 2172  Size:1  Children:0	[6938,6938][3775,3775][2242,2242]
187:	Offset: 2180  Size:1  Children:0	[6969,6969][3770,3770][2237,2237]
188:	Offset: 2188  Size:1  Children:0	[6941,6941][3779,3779][2246,2246]
189:	Offset: 2196  Size:1  Children:0	[6964,6964][3744,3744][2211,2211]
190:	Offset: 2204  Size:1  Children:0	[6970,6970][3742,3742][2209,2209]
191:	Offset: 2212  Size:1  Children:0	[6961,6961][3773,3773][2240,2240]
192:	Offset: 2220  Size:1  Children:0	[6939,6939][3741,3741][2208,2208]
193:	Offset: 2228  Size:1  Children:0	[6958,6958][3754,3754][2221,2221]
194:	Offset: 2236  Size:1  Children:0	[6935,6935][3761,3761][2228,2228]
195:	Offset: 2244  Size:1  Children:0	[6968,6968][3781,3781][2248,2248]
196:	Offset: 2252  Size:1  Children:0	[6937,6937][3772,3772][2239,2239]
197:	Offset: 2260  Size:1  Children:0	[6975,6975][3750,3750][2217,2217]
198:	Offset: 2268  Size:1  Children:0	[6981,6981][3758,3758][2225,2225]
199:	Offset: 2276  Size:1  Children:0	[6934,6934][3745,3745][2212,2212]
200:	Offset: 2284  Size:1  Children:0	[6977,6977][3757,3757][2224,2224]
201:	Offset: 2292  Size:1  Children:0	[6940,6940][3729,3729][2196,2196]
202:	Offset: 2300  Size:1  Children:0	[6979,6979][3763,3763][2230,2230]
203:	Offset: 2308  Size:1  Children:0	[6960,6960][3737,3737][2204,2204]
204:	Offset: 2316  Size:1  Children:0	[6943,6943][3764,3764][2231,2231]
205:	Offset: 2324  Size:1  Children:0	[6931,6931][3749,3749][2216,2216]
206:	Offset: 2332  Size:1  Children:0	[6955,6955][3743,3743][2210,2210]
207:	Offset: 2340  Size:1  Children:0	[6948,6948][3752,3752][2219,2219]
208:	Offset: 2348  Size:1  Children:0	[6972,6972][3730,3730][2197,2197]
209:	Offset: 2356  Size:1  Children:0	[6947,6947][3778,3778][2245,2245]
210:	Offset: 2364  Size:1  Children:0	[6946,6946][3738,3738][2205,2205]
211:	Offset: 2372  Size:1  Children:0	[6980,6980][3740,3740][2207,2207]
212:	Offset: 2380  Size:1  Children:0	[6962,6962][3732,3732][2199,2199]
213:	Offset: 2388  Size:1  Children:0	[6956,6956][3751,3751][2218,2218]
214:	Offset: 2396  Size:1  Children:0	[6965,6965][3756,3756][2223,2223]
215:	Offset: 2404  Size:1  Children:0	[6971,6971][3765,3765][2232,2232]
216:	Offset: 2412  Size:1  Children:0	[6957,6957][3746,3746][2213,2213]
217:	Offset: 2420  Size:1  Children:0	[6966,6966][3753,3753][2220,2220]
218:	Offset: 2428  Size:1  Children:0	[6944,6944][3767,3767][2234,2234]
219:	Offset: 2436  Size:1  Children:0	[6951,6951][3755,3755][2222,2222]
220:	Offset: 2444  Size:1  Children:0	[6952,6952][3771,3771][2238,2238]
221:	Offset: 2452  Size:1  Children:0	[6942,6942][3747,3747][2214,2214]
222:	Offset: 2460  Size:1  Children:0	[6978,6978][3734,3734][2201,2201]
223:	Offset: 2468  Size:1  Children:0	[6954,6954][3735,3735][2202,2202]
224:	Offset: 2476  Size:1  Children:0	[6933,6933][3777,3777][2244,2244]
225:	Offset: 2484  Size:1  Children:0	[6932,6932][3748,3748][2215,2215]
226:	Offset: 2492  Size:1  Children:0	[6930,6930][3769,3769][2236,2236]
227:	Offset: 2500  Size:1  Children:0	[6949,6949][3733,3733][2200,2200]
228:	Offset: 2508  Size:1  Children:0	[6974,6974][3739,3739][2206,2206]
229:	Offset: 2516  Size:21  Children:5	[7002,7007][3796,3801][2263,2268]
230:	Offset: 2544  Size:1  Children:0	[7005,7005][3800,3800][2267,2267]
231:	Offset: 2552  Size:1  Children:0	[7003,7003][3796,3796][2263,2263]
232:	Offset: 2560  Size:1  Children:0	[7002,7002][3797,3797][2264,2264]
233:	Offset: 2568  Size:1  Children:0	[7004,7004][3799,3799][2266,2266]
234:	Offset: 2576  Size:1  Children:0	[7006,7006][3798,3798][2265,2265]
235:	Offset: 2584  Size:13  Children:3	[6918,7008][3712,3802][2179,2269]
236:	Offset: 2604  Size:13  Children:3	[7044,7047][3542,3545][2009,2012]
237:	Offset: 2624  Size:1  Children:0	[7044,7044][3543,3543][2010,2010]
238:	Offset: 2632  Size:1  Children:0	[7045,7045][3542,3542][2009,2009]
239:	Offset: 2640  Size:1  Children:0	[7046,7046][3544,3544][2011,2011]
240:	Offset: 2648  Size:121  Children:30	[7075,7105][3621,3651][2088,2118]
241:	Offset: 2776  Size:1  Children:0	[7104,7104][3622,3622][2089,2089]
242:	Offset: 2784  Size:1  Children:0	[7093,7093][3628,3628][2095,2095]
243:	Offset: 2792  Size:1  Children:0	[7095,7095][3643,3643][2110,2110]
244:	Offset: 2800  Size:1  Children:0	[7086,7086][3635,3635][2102,2102]
245:	Offset: 2808  Size:1  Children:0	[7099,7099][3637,3637][2104,2104]
246:	Offset: 2816  Size:1  Children:0	[7101,7101][3629,3629][2096,2096]
247:	Offset: 2824  Size:1  Children:0	[7076,7076][3630,3630][2097,2097]
248:	Offset: 2832  Size:1  Children:0	[7103,7103][3623,3623][2090,2090]
249:	Offset: 2840  Size:1  Children:0	[7089,7089][3638,3638][2105,2105]
250:	Offset: 2848  Size:1  Children:0	[7096,7096][3632,3632][2099,2099]
251:	Offset: 2856  Size:1  Children:0	[7085,7085][3627,3627][2094,2094]
252:	Offset: 2864  Size:1  Children:0	[7094,7094][3634,3634][2101,2101]
253:	Offset: 2872  Size:1  Children:0	[7098,7098][3646,3646][2113,2113]
254:	Offset: 2880  Size:1  Children:0	[7078,7078][3633,3633][2100,2100]
255:	Offset: 2888  Size:1  Children:0	[7087,7087][3639,3639][2106,2106]
256:	Offset: 2896  Size:1  Children:0	[7102,7102][3625,3625][2092,2092]
257:	Offset: 2904  Size:1  Children:0	[7082,7082][3624,3624][2091,2091]
258:	Offset: 2912  Size:1  Children:0	[7092,7092][3649,3649][2116,2116]
259:	Offset: 2920  Size:1  Children:0	[7084,7084][3641,3641][2108,2108]
260:	Offset: 2928  Size:1  Children:0	[7097,7097][3642,3642][2109,2109]
261:	Offset: 2936  Size:1  Children:0	[7090,7090][3645,3645][2112,2112]
262:	Offset: 2944  Size:1  Children:0	[7079,7079][3640,3640][2107,2107]
263:	Offset: 2952  Size:1  Children:0	[7081,7081][3636,3636][2103,2103]
264:	Offset: 2960  Size:1  Children:0	[7100,7100][3648,3648][2115,2115]
265:	Offset: 2968  Size:1  Children:0	[7077,7077][3644,3644][2111,2111]
266:	Offset: 2976  Size:1  Children:0	[7075,7075][3621,3621][2088,2088]
267:	Offset: 2984  Size:1  Children:0	[7088,7088][3647,3647][2114,2114]
268:	Offset: 2992  Size:1  Children:0	[7080,7080][3650,3650][2117,2117]
269:	Offset: 3000  Size:1  Children:0	[7083,7083][3626,3626][2093,2093]
270:	Offset: 3008  Size:1  Children:0	[7091,7091][3631,3631][2098,2098]
271:	Offset: 3016  Size:13  Children:3	[7058,7061][3613,3616][2080,2083]
272:	Offset: 3036  Size:1  Children:0	[7058,7058][3614,3614][2081,2081]
273:	Offset: 3044  Size:1  Children:0	[7059,7059][3613,3613][2080,2080]
274:	Offset: 3052  Size:1  Children:0	[7060,7060][3615,3615][2082,2082]
275:	Offset: 3060  Size:17  Children:4	[7063,7067][3604,3608][2071,2075]
276:	Offset: 3084  Size:1  Children:0	[7065,7065][3607,3607][2074,2074]
277:	Offset: 3092  Size:1  Children:0	[7063,7063][3604,3604][2071,2071]
278:	Offset: 3100  Size:1  Children:0	[7064,7064][3605,3605][2072,2072]
279:	Offset: 3108  Size:1  Children:0	[7066,7066][3606,3606][2073,2073]
280:	Offset: 3116  Size:53  Children:13	[7054,7074][3600,3620][2067,2087]
281:	Offset: 3176  Size:1  Children:0	[7057,7057][3603,3603][2070,2070]
282:	Offset: 3184  Size:1  Children:0	[7068,7068][3610,3610][2077,2077]
283:	Offset: 3192  Size:1  Children:0	[7056,7056][3612,3612][2079,2079]
284:	Offset: 3200  Size:1  Children:0	[7069,7069][3602,3602][2069,2069]
285:	Offset: 3208  Size:1  Children:0	[7071,7071][3617,3617][2084,2084]
286:	Offset: 3216  Size:1  Children:0	[7072,7072][3619,3619][2086,2086]
287:	Offset: 3224  Size:1  Children:0	[7062,7062][3611,3611][2078,2078]
288:	Offset: 3232  Size:1  Children:0	[7054,7054][3601,3601][2068,2068]
289:	Offset: 3240  Size:1  Children:0	[7070,7070][3600,3600][2067,2067]
290:	Offset: 3248  Size:1  Children:0	[7073,7073][3609,3609][2076,2076]
291:	Offset: 3256  Size:1  Children:0	[7055,7055][3618,3618][2085,2085]
292:	Offset: 3264  Size:57  Children:14	[7133,7147][3584,3598][2051,2065]
293:	Offset: 3328  Size:1  Children:0	[7146,7146][3592,3592][2059,2059]
294:	Offset: 3336  Size:1  Children:0	[7137,7137][3586,3586][2053,2053]
295:	Offset: 3344  Size:1  Children:0	[7136,7136][3587,3587][2054,2054]
296:	Offset: 3352  Size:1  Children:0	[7141,7141][3593,3593][2060,2060]
297:	Offset: 3360  Size:1  Children:0	[7144,7144][3595,3595][2062,2062]
298:	Offset: 3368  Size:1  Children:0	[7140,7140][3591,3591][2058,2058]
299:	Offset: 3376  Size:1  Children:0	[7145,7145][3590,3590][2057,2057]
300:	Offset: 3384  Size:1  Children:0	[7138,7138][3585,3585][2052,2052]
301:	Offset: 3392  Size:1  Children:0	[7133,7133][3589,3589][2056,2056]
302:	Offset: 3400  Size:1  Children:0	[7135,7135][3596,3596][2063,2063]
303:	Offset: 3408  Size:1  Children:0	[7142,7142][3588,3588][2055,2055]
304:	Offset: 3416  Size:1  Children:0	[7139,7139][3597,3597][2064,2064]
305:	Offset: 3424  Size:1  Children:0	[7134,7134][3584,3584][2051,2051]
306:	Offset: 3432  Size:1  Children:0	[7143,7143][3594,3594][2061,2061]
307:	Offset: 3440  Size:17  Children:4	[7106,7110][3556,3560][2023,2027]
308:	Offset: 3464  Size:1  Children:0	[7108,7108][3559,3559][2026,2026]
309:	Offset: 3472  Size:1  Children:0	[7106,7106][3556,3556][2023,2023]
310:	Offset: 3480  Size:1  Children:0	[7107,7107][3557,3557][2024,2024]
